,USD/CNY Central Parity Rate
2010-01-31,-0.16099527809663017
2010-02-28,-0.16099763444796636
2010-03-31,-0.14053375854516204
2010-04-30,0.019045805218996507
2010-05-31,-0.06441978495744007
2010-06-30,-0.6019338725385655
2010-07-31,-0.8421999763469967
2010-08-31,-0.30348147060001407
2010-09-30,-1.8906557953468355
2010-10-31,-2.0313001946267737
2010-11-30,-2.236567004202581
2010-12-31,-3.0557953873713255
2011-01-31,-3.546856980979224
2011-02-28,-3.756569475443186
2011-03-31,-4.034112729014539
2011-04-30,-4.913448021100164
2011-05-31,-5.161709113853511
2011-06-30,-4.816010750237474
2011-07-31,-5.0058865309447285
2011-08-31,-6.424783583759373
2011-09-30,-5.30455231491003
2011-10-31,-5.649222467208411
2011-11-30,-5.037765525557585
2011-12-31,-4.981066144634082
2012-01-31,-4.304340241557153
2012-02-29,-4.40419039801312
2012-03-31,-4.079720988444012
2012-04-30,-3.4485366230306984
2012-05-31,-2.3245976536833037
2012-06-30,-2.292914893712421
2012-07-31,-1.7564359437551655
2012-08-31,-0.6566362466804023
2012-09-30,-0.21896841584888696
2012-10-31,-0.36598448582940424
2012-11-30,-0.9337431540013067
2012-12-31,-0.24470869644853052
2013-01-31,-0.5083006734734895
2013-02-28,-0.22275622188163835
2013-03-31,-0.40435612914405855
2013-04-30,-0.9264436837976725
2013-05-31,-2.49151928010684
2013-06-30,-2.3386330857299598
2013-07-31,-2.4492064160806737
2013-08-31,-2.7806646222270373
2013-09-30,-3.090965904154521
2013-10-31,-2.5349553512141534
2013-11-30,-2.5231379463476595
2013-12-31,-3.04649480905148
2014-01-31,-2.818225191337638
2014-02-28,-2.524470112019669
2014-03-31,-1.880741370949076
2014-04-30,-1.014646634161942
2014-05-31,-0.1635747099305986
2014-06-30,-0.4200630593913654
2014-07-31,-0.1830508436584183
2014-08-31,-0.1005220746793781
2014-09-30,0.0731677606724293
2014-10-31,0.0585908907928862
2014-11-30,0.032607809859317424
2014-12-31,0.36182391981693607
2015-01-31,0.5227915844291813
2015-02-28,0.42546665752018537
2015-03-31,-0.16105027760534638
2015-04-30,-0.7219894950970137
2015-05-31,-0.8121062445364761
2015-06-30,-0.6391465050208622
2015-07-31,-0.8189093929543454
2015-08-31,3.5785242591142317
2015-09-30,3.3374255697332136
2015-10-31,3.2558335325825305
2015-11-30,4.177548877719022
2015-12-31,5.941839198442552
2016-01-31,6.5373271219127504
2016-02-29,6.268646146439276
2016-03-31,5.063207488582287
2016-04-30,5.492687010634775
2016-05-31,7.238602319277391
2016-06-30,8.126998558468093
2016-07-31,8.367777903045601
2016-08-31,4.6108732232776966
2016-09-30,4.855583300602114
2016-10-31,6.32531454314878
2016-11-30,7.385890934895875
2016-12-31,6.605232793833547
2017-01-31,4.582320469647184
2017-02-28,4.915968698003148
2017-03-31,6.560489812405949
2017-04-30,6.506188661194407
2017-05-31,4.230561752936729
2017-06-30,2.136501866322963
2017-07-31,1.1540256928343862
2017-08-31,-1.351229574908295
2017-09-30,-0.6143604984513709
2017-10-31,-1.8562433333667763
2017-11-30,-4.1978305472706765
2017-12-31,-5.981948257121722
2018-01-31,-7.961633914254902
2018-02-28,-8.268619861895408
2018-03-31,-9.27609988731884
2018-04-30,-8.375255901077606
2018-05-31,-6.764291272712277
2018-06-30,-2.356915911082869
2018-07-31,1.3023632193416053
2018-08-31,3.331257858826222
2018-09-30,3.5857379112636387
2018-10-31,4.777339383065305
2018-11-30,4.909731804512212
2018-12-31,4.912388344467137
2019-01-31,5.656443094796722
2019-02-28,5.542337677784963
2019-03-31,6.843610959962246
2019-04-30,5.95987459836904
2019-05-31,7.285999994632615
2019-06-30,3.8266363389324742
2019-07-31,0.9868261037855385
2019-08-31,3.7855373556215537
2019-09-30,2.776821356705364
2019-10-31,1.2655416837476903
2019-11-30,1.347626996808045
2019-12-31,1.6330550643862005
2020-01-31,2.724210230191645
2020-02-29,4.6223740276040015
2020-03-31,5.089891946111918
2020-04-30,4.7667104003085345
2020-05-31,3.313015032604653
2020-06-30,2.935527750598357
2020-07-31,1.4521954832558213
2020-08-31,-3.2608779472018963
2020-09-30,-3.786377534018354
2020-10-31,-4.793136074435682
2020-11-30,-6.639710423285308
2020-12-31,-6.687872849966076
2021-01-31,-6.240749103621841
2021-02-28,-7.9475546300927
2021-03-31,-7.528230534408974
2021-04-30,-8.72909540184649
2021-05-31,-11.321875809441105
2021-06-30,-9.155848619202915
2021-07-31,-7.807608244687149
2021-08-31,-5.892884451349683
2021-09-30,-4.885330767334467
2021-10-31,-5.072042311295957
2021-11-30,-3.0687102635744257
2021-12-31,-2.313173848277066
2022-01-31,-1.499385841578079
2022-02-28,-2.33097668352439
2022-03-31,-3.454037387099195
2022-04-30,2.3004629329093986
2022-05-31,4.4907729050181215
2022-06-30,3.816277548483847
2022-07-31,4.294845865675813
2022-08-31,6.3306683097082885
2022-09-30,9.051311796835584
2022-10-31,11.600979270735206
2022-11-30,11.77934859053605
2022-12-31,8.834628663737533
2023-01-31,5.87607159240413
2023-02-28,9.494775465840805
2023-03-31,7.924022016176072
2023-04-30,4.524575975770405
2023-05-31,6.134588976077167
2023-06-30,7.385038147665414
2023-07-31,5.577262247033725
2023-08-31,4.129441070563895
2023-09-30,1.1204912882536364
2023-10-31,0.015325990820479404
2023-11-30,-1.0519261909528252
2023-12-31,1.6815015364715968
2024-01-31,4.956186911228059
2024-02-29,2.1586694288495254
2024-03-31,3.197878229624837
2024-04-30,2.5988077237800034
2024-05-31,0.37629793044868837
2024-06-30,-1.3795628684674237
