,USD/CNY Central Parity Rate
2010-01,6.827
2010-02,6.826899999999999
2010-03,6.826300000000001
2010-04,6.826300000000001
2010-05,6.828
2010-06,6.7909
2010-07,6.775
2010-08,6.810499999999999
2010-09,6.7011
2010-10,6.6908
2010-11,6.6762
2010-12,6.622700000000001
2011-01,6.589100000000001
2011-02,6.5752
2011-03,6.5564
2011-04,6.499
2011-05,6.4845
2011-06,6.4716
2011-07,6.4442
2011-08,6.3867
2011-09,6.3549
2011-10,6.3233
2011-11,6.3482
2011-12,6.3008999999999995
2012-01,6.3115000000000006
2012-02,6.291900000000001
2012-03,6.294300000000001
2012-04,6.278700000000001
2012-05,6.335500000000001
2012-06,6.3248999999999995
2012-07,6.332
2012-08,6.344899999999999
2012-09,6.341
2012-10,6.3002
2012-11,6.2892
2012-12,6.285500000000001
2013-01,6.2795000000000005
2013-02,6.277900000000001
2013-03,6.2688999999999995
2013-04,6.2208
2013-05,6.1796
2013-06,6.178700000000001
2013-07,6.1788
2013-08,6.1709
2013-09,6.148
2013-10,6.142499999999999
2013-11,6.132499999999999
2013-12,6.0969
2014-01,6.105
2014-02,6.1214
2014-03,6.152099999999999
2014-04,6.158
2014-05,6.169500000000001
2014-06,6.1528
2014-07,6.1675
2014-08,6.164700000000001
2014-09,6.152499999999999
2014-10,6.1461
2014-11,6.134499999999999
2014-12,6.119
2015-01,6.137
2015-02,6.147500000000001
2015-03,6.1422
2015-04,6.1137
2015-05,6.1196
2015-06,6.1136
2015-07,6.1172
2015-08,6.3892999999999995
2015-09,6.361299999999999
2015-10,6.349500000000001
2015-11,6.3962
2015-12,6.4936
2016-01,6.5516
2016-02,6.5452
2016-03,6.4612
2016-04,6.458899999999999
2016-05,6.579
2016-06,6.6312
2016-07,6.6511000000000005
2016-08,6.6908
2016-09,6.6778
2016-10,6.764099999999999
2016-11,6.886499999999999
2016-12,6.937
2017-01,6.8588
2017-02,6.875
2017-03,6.899299999999999
2017-04,6.8931000000000004
2017-05,6.8633
2017-06,6.7744
2017-07,6.728300000000001
2017-08,6.601
2017-09,6.636899999999999
2017-10,6.6396999999999995
2017-11,6.6034
2017-12,6.5342
2018-01,6.333900000000001
2018-02,6.3294
2018-03,6.288099999999999
2018-04,6.3393
2018-05,6.4144
2018-06,6.6166
2018-07,6.8165
2018-08,6.8246
2018-09,6.8792
2018-10,6.9646
2018-11,6.9357
2018-12,6.8632
2019-01,6.7025
2019-02,6.690099999999999
2019-03,6.7335
2019-04,6.7286
2019-05,6.8992
2019-06,6.874700000000001
2019-07,6.884099999999999
2019-08,7.0879
2019-09,7.0729
2019-10,7.053299999999999
2019-11,7.0298
2019-12,6.9762
2020-01,6.8876
2020-02,7.0066
2020-03,7.085100000000001
2020-04,7.057100000000001
2020-05,7.1316
2020-06,7.0795
2020-07,6.9848
2020-08,6.860499999999999
2020-09,6.810099999999999
2020-10,6.7232
2020-11,6.5782
2020-12,6.5249
2021-01,6.470899999999999
2021-02,6.471299999999999
2021-03,6.571299999999999
2021-04,6.4672
2021-05,6.3682
2021-06,6.4601
2021-07,6.4602
2021-08,6.467900000000001
2021-09,6.4854
2021-10,6.390700000000001
2021-11,6.3794
2021-12,6.375699999999999
2022-01,6.3746
2022-02,6.3222
2022-03,6.3482
2022-04,6.617699999999999
2022-05,6.6607
2022-06,6.7114
2022-07,6.7437
2022-08,6.8906
2022-09,7.0998
2022-10,7.1768
2022-11,7.176899999999999
2022-12,6.9646
2023-01,6.7604
2023-02,6.951900000000001
2023-03,6.8717
2023-04,6.924
2023-05,7.0821
2023-06,7.2258
2023-07,7.1305
2023-08,7.181100000000001
2023-09,7.1798
2023-10,7.177900000000001
2023-11,7.1018
2023-12,7.082700000000001
2024-01,7.1039
2024-02,7.1036
2024-03,7.095
2024-04,7.106300000000001
2024-05,7.1088
2024-06,7.1268
2024-07,7.126499999999999
