,USD/CNY Central Parity Rate
2010-01-31,-0.16086575021936417
2010-02-28,-0.16086810278010805
2010-03-31,-0.1404350561008767
2010-04-30,0.01904761904762671
2010-05-31,-0.06439903986885304
2010-06-30,-0.6001258800626655
2010-07-31,-0.8386634076372607
2010-08-31,-0.3030214310809317
2010-09-30,-1.8728950065895367
2010-10-31,-2.0108082775588945
2010-11-30,-2.211741270213275
2010-12-31,-3.0095779268328244
2011-01-31,-3.4846931302182345
2011-02-28,-3.686885702148847
2011-03-31,-3.953825644932111
2011-04-30,-4.794691121105152
2011-05-31,-5.030755711775052
2011-06-30,-4.701880457671297
2011-07-31,-4.882656826568265
2011-08-31,-6.222744291902197
2011-09-30,-5.166315977973772
2011-10-31,-5.492616727446651
2011-11-30,-4.912974446541437
2011-12-31,-4.859045404442318
2012-01-31,-4.2130184698972615
2012-02-29,-4.308614186640692
2012-03-31,-3.997620645476166
2012-04-30,-3.3897522695799207
2012-05-31,-2.2977870306114445
2012-06-30,-2.2668273688114233
2012-07-31,-1.7411005245026614
2012-08-31,-0.6544851018523051
2012-09-30,-0.2187288548993624
2012-10-31,-0.36531557889076044
2012-11-30,-0.9293973094735541
2012-12-31,-0.2444095287974535
2013-01-31,-0.5070110116454095
2013-02-28,-0.22250830432779023
2013-03-31,-0.40353971053176996
2013-04-30,-0.9221654164078701
2013-05-31,-2.460737116249717
2013-06-30,-2.311498996031535
2013-07-31,-2.419456727732154
2013-08-31,-2.7423600056738406
2013-09-30,-3.043683961520273
2013-10-31,-2.503095139836847
2013-11-30,-2.4915728550531187
2013-12-31,-3.0005568371649187
2014-01-31,-2.7788836690819347
2014-02-28,-2.4928718201946554
2014-03-31,-1.8631657866611442
2014-04-30,-1.0095164609053386
2014-05-31,-0.16344099941741644
2014-06-30,-0.41918202858207904
2014-07-31,-0.18288340778143689
2014-08-31,-0.10047156816669973
2014-09-30,0.07319453480805599
2014-10-31,0.05860805860806662
2014-11-30,0.032613126783526784
2014-12-31,0.36247929275533486
2015-01-31,0.5241605241605101
2015-02-28,0.42637305191623576
2015-03-31,-0.1609206612376121
2015-04-30,-0.7193894121468117
2015-05-31,-0.8088175703055503
2015-06-30,-0.637108308412432
2015-07-31,-0.8155654641264696
2015-08-31,3.643324087141284
2015-09-30,3.3937423811458776
2015-10-31,3.3094157270464386
2015-11-30,4.266036351780931
2015-12-31,6.121915345644714
2016-01-31,6.755743848786054
2016-02-29,6.469296461976404
2016-03-31,5.193578847969782
2016-04-30,5.6463352797814625
2016-05-31,7.507026603045944
2016-06-30,8.466370060193663
2016-07-31,8.727849342836592
2016-08-31,4.718826788537098
2016-09-30,4.975398110449144
2016-10-31,6.529648003779798
2016-11-30,7.665488884024868
2016-12-31,6.828261673031916
2017-01-31,4.688930948165333
2017-02-28,5.038807064719178
2017-03-31,6.780474215316033
2017-04-30,6.722506928424369
2017-05-31,4.321325429396565
2017-06-30,2.1594884787067232
2017-07-31,1.1607102584534945
2017-08-31,-1.3421414479583953
2017-09-30,-0.6124771631375826
2017-10-31,-1.8391212430330663
2017-11-30,-4.11094169752413
2017-12-31,-5.806544615828168
2018-01-31,-7.652942205633622
2018-02-28,-7.936000000000004
2018-03-31,-8.858869740408451
2018-04-30,-8.034121077599348
2018-05-31,-6.540585432663589
2018-06-30,-2.3293575814832304
2018-07-31,1.3108809060237907
2018-08-31,3.3873655506741445
2018-09-30,3.6508008256867077
2018-10-31,4.893293371688486
2018-11-30,5.032256110488538
2018-12-31,5.035046371399708
2019-01-31,5.819479309745953
2019-02-28,5.698802414130875
2019-03-31,7.083220686693934
2019-04-30,6.141056583534467
2019-05-31,7.557994512347231
2019-06-30,3.90079497022641
2019-07-31,0.9917112887845618
2019-08-31,3.8581015737186073
2019-09-30,2.8157343877194987
2019-10-31,1.273583551101274
2019-11-30,1.3567484176074525
2019-12-31,1.646462291642389
2020-01-31,2.761656098470724
2020-02-29,4.730870988475515
2020-03-31,5.221652929382941
2020-04-30,4.882144874119444
2020-05-31,3.3685064935064823
2020-06-30,2.9790390853419004
2020-07-31,1.462791069275587
2020-08-31,-3.208284541260474
2020-09-30,-3.7155904932913
2020-10-31,-4.680078828349836
2020-11-30,-6.424080343679764
2020-12-31,-6.4691379260915784
2021-01-31,-6.0500029037691
2021-02-28,-7.639939485627842
2021-03-31,-7.2518383650195695
2021-04-30,-8.358957645491786
2021-05-31,-10.704470245106286
2021-06-30,-8.749205452362464
2021-07-31,-7.510594433627298
2021-08-31,-5.722614969754364
2021-09-30,-4.76791823908605
2021-10-31,-4.945561637315557
2021-11-30,-3.0221033109361137
2021-12-31,-2.2866250823767484
2022-01-31,-1.4882010230416078
2022-02-28,-2.3040192851513575
2022-03-31,-3.3950664252126486
2022-04-30,2.3271276595744554
2022-05-31,4.593134637731234
2022-06-30,3.8900326620331036
2022-07-31,4.388409027584272
2022-08-31,6.535351505125295
2022-09-30,9.473586825793317
2022-10-31,12.300686935703432
2022-11-30,12.501175659152874
2022-12-31,9.236632840315584
2023-01-31,6.052144448279103
2023-02-28,9.960140457435728
2023-03-31,8.246432059481418
2023-04-30,4.628496305362908
2023-05-31,6.326662362814709
2023-06-30,7.664570730399012
2023-07-31,5.73572371250204
2023-08-31,4.2158883116129315
2023-09-30,1.1267923040085646
2023-10-31,0.015327165310458548
2023-11-30,-1.0464127966113375
2023-12-31,1.6957183470694797
2024-01-31,5.081060292290405
2024-02-29,2.1821372574403983
2024-03-31,3.2495597886985763
2024-04-30,2.6328711727325325
2024-05-31,0.37700682001101293
2024-06-30,-1.3700905090093736
