,growth
2010-01-31,-26.200167954076953
2010-02-28,-29.581156035027945
2010-03-31,-29.03362789908817
2010-04-30,-26.522007106699384
2010-05-31,-26.12911067338636
2010-06-30,-23.325266320860436
2010-07-31,-23.417664878031868
2010-08-31,-21.489678514067247
2010-09-30,-19.839217897829858
2010-10-31,-20.59467626130044
2010-11-30,-20.043865948168737
2010-12-31,-18.22399493525434
2011-01-31,-17.71064801513865
2011-02-28,-16.677054961661327
2011-03-31,-16.820632335056633
2011-04-30,-16.2493904959303
2011-05-31,-13.627066148893327
2011-06-30,-14.515250471201323
2011-07-31,-12.748319340348694
2011-08-31,-12.714850663780263
2011-09-30,-12.745623093448529
2011-10-31,-9.648570077592986
2011-11-30,-9.45076972264009
2011-12-31,-8.390058137874036
2012-01-31,-6.183842258696671
2012-02-29,-5.604262826397306
2012-03-31,-5.0315243310988365
2012-04-30,-4.627818052029163
2012-05-31,-7.246588239605747
2012-06-30,-4.391785450073045
2012-07-31,-4.251561397858283
2012-08-31,-3.758650698151616
2012-09-30,-4.392310997454764
2012-10-31,-4.786757103295836
2012-11-30,-3.6347707474172313
2012-12-31,-3.7515499387660594
2013-01-31,-6.567692869577813
2013-02-28,-7.495950051690957
2013-03-31,-4.083317273699342
2013-04-30,-4.193363347211586
2013-05-31,-2.8700788930013084
2013-06-30,-4.976205738820567
2013-07-31,-5.007009785359185
2013-08-31,-5.802764982053427
2013-09-30,-5.346669287541676
2013-10-31,-6.89042234665487
2013-11-30,-7.70893721352632
2013-12-31,-7.723298613426509
2014-01-31,-4.158880857975221
2014-02-28,-2.793749972205544
2014-03-31,-3.7753768685217644
2014-04-30,-2.962531518599567
2014-05-31,-3.560614106953209
2014-06-30,-1.9357404634009048
2014-07-31,-2.598713962457996
2014-08-31,-2.177618956339744
2014-09-30,-0.8561351237828622
2014-10-31,-1.0277110880743625
2014-11-30,-0.3454564861104996
2014-12-31,0.8076024066514684
2015-01-31,0.7725845244705063
2015-02-28,-0.022480610743205648
2015-03-31,2.3265145171038792
2015-04-30,1.6297216943180006
2015-05-31,2.4910964134595215
2015-06-30,1.4772560427448695
2015-07-31,2.586313402913116
2015-08-31,4.9528882080472245
2015-09-30,3.963433822066132
2015-10-31,6.527206022879724
2015-11-30,7.533813626526813
2015-12-31,7.843613085724763
2016-01-31,8.217342431243772
2016-02-29,7.091989679482811
2016-03-31,4.710039568241031
2016-04-30,4.5218950047075435
2016-05-31,4.379214028949345
2016-06-30,5.135147637231006
2016-07-31,4.227360682928777
2016-08-31,3.734570302149089
2016-09-30,2.705992939644398
2016-10-31,1.0507541790140593
2016-11-30,-0.1804789888476499
2016-12-31,-1.1099055370954114
2017-01-31,-4.923214951754783
2017-02-28,-5.585300874453855
2017-03-31,-3.811795359849362
2017-04-30,-4.029251336010254
2017-05-31,-4.096317345700742
2017-06-30,-4.005345519638535
2017-07-31,-3.7045734186725845
2017-08-31,-6.124371478155468
2017-09-30,-6.274440061564498
2017-10-31,-4.332261607186304
2017-11-30,-4.229636303696652
2017-12-31,-4.903634711265031
2018-01-31,-2.749249157633065
2018-02-28,-4.981032136989819
2018-03-31,-6.269228767694233
2018-04-30,-4.257045475344393
2018-05-31,-4.19187752098698
2018-06-30,-4.631794406437573
2018-07-31,-3.5642439732780926
2018-08-31,-1.5433428825306272
2018-09-30,-0.7561808072146669
2018-10-31,2.363555356777935
2018-11-30,2.7414667487768107
2018-12-31,4.640559691042674
2019-01-31,5.324639325595221
2019-02-28,6.240916384497876
2019-03-31,4.2526916251843625
2019-04-30,5.849725934238112
2019-05-31,4.8162127392866525
2019-06-30,5.36528683206609
2019-07-31,4.750645339636486
2019-08-31,4.3861259326332975
2019-09-30,6.430744608949603
2019-10-31,5.196359431188153
2019-11-30,3.5439885759409346
2019-12-31,5.059661875433235
2020-01-31,7.200205293104224
2020-02-29,13.779446382452484
2020-03-31,14.542044812824612
2020-04-30,9.615195913995798
2020-05-31,7.739530171950063
2020-06-30,3.7730298860610216
2020-07-31,1.8228663763496002
2020-08-31,-1.8403402406971998
2020-09-30,-4.551682579047496
2020-10-31,-8.740781434601944
2020-11-30,-6.939931362880635
2020-12-31,-10.699915006170615
2021-01-31,-22.855688744562137
2021-02-28,-35.692149155377905
2021-03-31,-32.48287414448957
2021-04-30,-27.44395999626001
2021-05-31,-22.63737641178229
2021-06-30,-17.15023519768533
2021-07-31,-14.229948667510785
2021-08-31,-9.66114170055759
2021-09-30,-8.280384635968382
2021-10-31,-8.268414597986556
2021-11-30,-7.635871475962282
2021-12-31,-2.88350834024955
2022-01-31,0.04965214474273805
2022-02-28,-3.4081631992485795
2022-03-31,0.6286375959957724
2022-04-30,3.2839856056290873
2022-05-31,2.9739559584298236
2022-06-30,4.374418721904228
2022-07-31,3.6615685228607537
2022-08-31,3.5022897118274035
2022-09-30,5.8817912097031755
2022-10-31,8.536109742792581
2022-11-30,8.94119800131065
2022-12-31,9.33875394726059
2023-01-31,9.98541604518554
2023-02-28,12.240635470116949
2023-03-31,11.788646113964035
2023-04-30,8.858143711846798
2023-05-31,12.310972884212823
2023-06-30,11.721256469818192
2023-07-31,11.438125121476414
2023-08-31,10.943102408044341
2023-09-30,7.293934496260044
2023-10-31,7.166381712378865
2023-11-30,7.898173238053479
2023-12-31,6.757634372462479
2024-01-31,3.2708778879816993
2024-02-29,0.36594446427710187
2024-03-31,2.3935614452650302
2024-04-30,3.8320392328450548
2024-05-31,1.3473459373923315
2024-06-30,0.40845355447509535
