,interest
2010-01,-2.909512053298356
2010-02,-2.7523322753744988
2010-03,-2.791040533152404
2010-04,-2.6751831588564707
2010-05,-2.554803012488158
2010-06,-2.725240902221694
2010-07,-2.739601096365116
2010-08,-2.7951060717579876
2010-09,-2.879559750448569
2010-10,-3.221550899078095
2010-11,-3.517819895485458
2010-12,-3.8921466594639105
2011-01,-4.312168764736066
2011-02,-3.9965182408781366
2011-03,-3.792281319248102
2011-04,-3.9153178564331554
2011-05,-3.907718642381895
2011-06,-4.503060585211408
2011-07,-4.458149547150507
2011-08,-4.364538959319107
2011-09,-4.200908583379777
2011-10,-4.125989119922473
2011-11,-3.958162283933193
2011-12,-3.7364553562577307
2012-01,-3.7250976012641304
2012-02,-3.776421795234184
2012-03,-3.6470795709855435
2012-04,-3.6062179407062303
2012-05,-3.3346733653777965
2012-06,-3.2757065503208276
2012-07,-3.148456509663745
2012-08,-3.209832207099564
2012-09,-3.296113332598331
2012-10,-3.405434239899108
2012-11,-3.4253490439392023
2012-12,-3.493185297601754
2013-01,-3.5057910966019525
2013-02,-3.4866976488730534
2013-03,-3.465113810186364
2013-04,-3.4050299898564074
2013-05,-3.4148480511744883
2013-06,-3.936304738635526
2013-07,-3.8523152833624064
2013-08,-4.0774238443008635
2013-09,-4.063800165050011
2013-10,-4.194010440238721
2013-11,-4.320135720196517
2013-12,-4.6962223934675436
2014-01,-4.704106331153595
2014-02,-4.616385658081228
2014-03,-4.661018038441388
2014-04,-4.53328490343834
2014-05,-4.194549787129828
2014-06,-4.132942208890591
2014-07,-4.267778076642071
2014-08,-4.233243563366811
2014-09,-4.023664553071649
2014-10,-3.8426161742566562
2014-11,-3.59180789854976
2014-12,-3.929834559306843
2015-01,-3.790523837165368
2015-02,-3.682941795859513
2015-03,-3.8739293138041413
2015-04,-3.39192734723149
2015-05,-3.2269185646009073
2015-06,-3.340049375756091
2015-07,-3.184254658053541
2015-08,-3.0518877506000424
2015-09,-3.0474582259390517
2015-10,-2.8448165506209957
2015-11,-2.7245063298507213
2015-12,-2.5129003744473173
2016-01,-2.448373503767868
2016-02,-2.382306130520666
2016-03,-2.415969802388668
2016-04,-2.4665734011313343
2016-05,-2.459188909901061
2016-06,-2.4203134158838746
2016-07,-2.2764415479366935
2016-08,-2.171580652267425
2016-09,-2.174820122401754
2016-10,-2.152821822891998
2016-11,-2.267341635889628
2016-12,-2.3346068113351803
2017-01,-2.7255182111763467
2017-02,-2.7924829492111742
2017-03,-2.6615685447157587
2017-04,-2.7298961769517773
2017-05,-2.8021578901744157
2017-06,-2.684109541162419
2017-07,-2.6249588540229603
2017-08,-2.6866670162950843
2017-09,-2.639805465586147
2017-10,-2.7772301451448236
2017-11,-2.772890668675851
2017-12,-2.6489984730545997
2018-01,-2.5388663503193554
2018-02,-2.254678511984979
2018-03,-1.935226203967913
2018-04,-1.6191285724796676
2018-05,-1.7019280365493947
2018-06,-1.5462556408853354
2018-07,-1.1981259785060638
2018-08,-1.1535142219402146
2018-09,-1.0851099834420488
2018-10,-0.8939887502168546
2018-11,-0.7276428661548691
2018-12,-0.6324777552615783
2019-01,-0.46734776806274025
2019-02,-0.5126180612571507
2019-03,-0.4870854291871063
2019-04,-0.7457383716835047
2019-05,-0.7387762043284392
2019-06,-0.8486714040224159
2019-07,-0.8275168759203759
2019-08,-0.8854797052067593
2019-09,-1.0331925045746222
2019-10,-1.4446304033047623
2019-11,-1.3714931734925715
2019-12,-1.3709051483053503
2020-01,-1.301141660806406
2020-02,-1.277450917720658
2020-03,-1.60676811211918
2020-04,-1.8699917699377762
2020-05,-2.084796989285044
2020-06,-2.3812343007469448
2020-07,-2.683821994479697
2020-08,-2.7266510799390176
2020-09,-2.8428641764664255
2020-10,-2.9646331456073045
2020-11,-3.057353462413422
2020-12,-2.861470856341454
2021-01,-2.922389021742386
2021-02,-3.030300607511628
2021-03,-2.9089609087005472
2021-04,-2.894047710556862
2021-05,-2.8031360319138368
2021-06,-2.792611093758747
2021-07,-2.6159034616989345
2021-08,-2.617688344158181
2021-09,-2.657490718812729
2021-10,-2.723648549171687
2021-11,-2.6124844075087834
2021-12,-2.557229826486471
2022-01,-2.361439757552504
2022-02,-2.225134787650437
2022-03,-1.9203284598838168
2022-04,-1.5569451737155235
2022-05,-1.1310343740917896
2022-06,-0.5684200714893217
2022-07,0.11899784897181487
2022-08,0.7163074066404729
2022-09,1.111697432571427
2022-10,1.9686831318816127
2022-11,1.899479452148027
2022-12,1.8842475904666833
2023-01,2.0204874548223715
2023-02,2.1643076318702965
2023-03,2.2918772639515326
2023-04,2.5289537381579494
2023-05,2.973923333154892
2023-06,2.9939325316399756
2023-07,3.098787182208551
2023-08,3.209487565410208
2023-09,3.041385964166987
2023-10,3.007677701935448
2023-11,2.9259241468773083
2023-12,2.949515864525773
2024-01,3.0795970312248135
2024-02,3.2291670369475955
2024-03,3.260625415486151
2024-04,3.3132745530747196
2024-05,3.3419778191946516
2024-06,3.4145000418866696
2024-07,3.378080458060685
